rut_ci,razon_social,nombre_fantasia,tenant_id,direccion,email_facturacion,tel,status_riesgo,limite_de_credito,estado_actual
210000010011,Barraca Martinez Group,Barraca Martinez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 58 No. 5476, Montevideo",admin@barracamartinezgroup.com,098814317,Excelente,50000,Comercial
210000020012,Farmacia Perez Ltda.,Farmacia Perez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 80 No. 3750, Montevideo",admin@farmaciaperezltda.com,096713405,Excelente,250000,Comercial
210000030013,Estudio Rodriguez Ltda.,Estudio Rodriguez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 6 No. 7722, Montevideo",admin@estudiorodriguezltda.com,097421693,Excelente,100000,Comercial
210000040014,Barraca Garcia Group,Barraca Garcia,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 29 No. 3631, Montevideo",admin@barracagarciagroup.com,097540845,Regular,1000000,Pendiente
210000050015,Supermercado Silva Ltda.,Supermercado Silva,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 31 No. 1257, Montevideo",admin@supermercadosilvaltda.com,095291910,Alto,1000000,Pendiente
210000060016,Barraca Gonzalez Group,Barraca Gonzalez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 45 No. 6516, Montevideo",admin@barracagonzalezgroup.com,098696566,Excelente,500000,Comercial
210000070017,Agro Lopez S.A.,Agro Lopez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 88 No. 5098, Montevideo",admin@agrolopezsa.com,097323234,Alto,100000,Pendiente
210000080018,Importadora Fernandez S.A.,Importadora Fernandez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 49 No. 2660, Montevideo",admin@importadorafernandezsa.com,094992817,Regular,250000,Pendiente
210000090010,Supermercado Silva Tech,Supermercado Silva,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 28 No. 2285, Montevideo",admin@supermercadosilvatech.com,099162888,Crítico,250000,Pendiente
210000100011,Agro Fernandez Ltda.,Agro Fernandez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 94 No. 4104, Montevideo",admin@agrofernandezltda.com,091427143,Crítico,500000,Pendiente
210000110012,Transporte Perez Logistics,Transporte Perez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 16 No. 2782, Montevideo",admin@transporteperezlogistics.com,092863743,Alto,500000,Pendiente
210000120013,Barraca Martinez Logistics,Barraca Martinez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 15 No. 4434, Montevideo",admin@barracamartinezlogistics.com,092352195,Regular,500000,Pendiente
210000130014,Consultora Perez Tech,Consultora Perez,a942b959-92f8-4ed1-8397-80ff430d8f1d,"Calle 15 No. 3339, Montevideo",admin@consultorapereztech.com,096290268,Regular,1000000,Pendiente
